Sample	Fws
PC4118-C	0.62606746
PC4126-C	0.9542564
PC4128-C	0.9978028
PC4129-C	0.8798118
PC4130-C	0.998453
PD0003-C	0.99951833
PD0004-03	0.9981139
PD0004-C	0.9988817
PD0005-C	0.99937296
PD0006-01	0.90241116
PD0007-01	0.7587839
PD0008-02	0.8409906
PD0009-01	0.88860816
PD0011-01	0.96344703
PD0015-02	0.9046708
PD0016-C	0.99827045
PD0017-C	0.9989175
PD0018-C	0.8496098
PD0019-C	0.8076949
PD0020-C	0.6077078
PD0021-C	0.83167225
PD0022-C	0.997821
PD0023-C	0.81915426
PD0025-C	0.99982166
PD0026-C	0.9986112
PD0027-C	0.9946664
PD0028-C	0.99803615
PD0029-C	0.9998586
PD0030-C	0.7779431
PD0031-C	0.99914485
PD0032-C	0.92259824
PD0033-C	0.9963031
PD0034-C	0.93760943
PD0037-C	0.99846923
PD0038-C	0.9977403
PD0040-C	0.99659735
PD0041-C	0.99620235
PD0042-C	0.9983029
PD0043-C	0.99973
PD0045-C	0.75440955
PD0046-C	0.98759025
PD0048-C	0.998118
PD0050-C	0.8683035
PD0052-C	0.9931146
PD0053-C	0.9964804
PD0056-C	0.9982755
PD0057-C	0.90180874
PD0058-C	0.9962854
PD0060-C	0.807681
PD0061-C	0.9985619
PD0062-C	0.8790974
PD0063-C	0.9165826
PD0067-C	0.9991935
PD0068-C	0.59921974
PD0070-C	0.94219255
PD0072-C	0.9845855
PD0073-C	0.99968153
PD0074-C	0.9881282
PD0075-C	0.9991891
PD0076-C	0.8239147
PD0077-C	0.99585307
PD0078-C	0.99968886
PD0079-C	0.9989423
PD0080-C	0.9839823
PD0081-C	0.9094463
PD0082-C	0.7918541
PD0083-C	0.99507385
PD0084-C	0.97907406
PD0085-C	0.99949616
PD0086-C	0.9990485
PD0087-C	0.9977209
PD0088-C	0.9989445
PD0089-C	0.9996678
PD0090-C	0.9997751
PD0091-C	0.99808544
PD0092-C	0.9967615
PD0093-C	0.6519318
PD0094-C	0.99871624
PD0095-C	0.9997049
PD0096-C	0.9773602
PD0097-C	0.92339975
PD0098-C	0.99978024
PD0101-C	0.9993549
PD0102-C	0.94826275
PD0103-C	0.99967736
PD0105-C	0.9986471
PD0106-C	0.8143998
PD0109-C	0.9994193
PD0110-C	0.9392311
PD0111-C	0.99851006
PD0112-C	0.9986837
PD0113-C	0.99862415
PD0115-Cx	0.99820596
PD0116-Cx	0.96613705
PD0117-C	0.9985831
PD0118-C	1.0
PD0119-C	0.9054547
PD0121-C	0.9965208
PD0122-C	0.9861343
PD0123-C	0.9991595
PD0124-C	0.853592
PD0125-C	0.99833757
PD0126-C	0.9993414
PD0127-C	0.9977883
PD0128-C	0.6794266
PD0129-C	0.9984165
PD0130-C	0.9705073
PD0131-C	0.9995645
PD0132-C	0.9522094
PD0133-C	0.99928933
